"report_date","asin","cost","clicks","impressions"
"2021-07-25",NULL,2.59,7,1231
"2021-07-26",NULL,2.51,9,1070
"2021-07-27",NULL,7.7,16,842
"2021-07-27",NULL,0.54,1,47
"2021-07-28",NULL,7.73,15,1174
"2021-07-29",NULL,5.39,11,1029
"2021-07-30",NULL,7.13,16,1029
"2021-07-31",NULL,6.0,12,998
"2021-08-01",NULL,3.55,9,1135
"2021-08-02",NULL,2.1,5,896
"2021-08-03",NULL,6.9,12,1157
"2021-08-03",NULL,0.28,1,29
"2021-08-04",NULL,5.58,12,1047
"2021-08-05",NULL,6.31,12,1077
"2021-08-06",NULL,5.63,10,997
"2021-08-07",NULL,1.56,3,1026
"2021-08-07",NULL,0.6,1,26
"2021-08-08",NULL,3.25,9,1003
"2021-08-09",NULL,2.72,8,1164
"2021-08-10",NULL,6.66,12,1082
"2021-08-11",NULL,3.29,6,1020
"2021-08-12",NULL,4.35,10,990
"2021-08-12",NULL,0.49,1,17
"2021-08-13",NULL,4.46,13,859
"2021-08-14",NULL,5.43,12,1156
"2021-08-15",NULL,4.12,8,1160
"2021-08-16",NULL,6.44,12,1244
"2021-08-17",NULL,2.52,4,1266
"2021-08-18",NULL,4.67,9,1430
"2021-08-19",NULL,6.94,14,1124
"2021-08-20",NULL,3.39,9,1096
"2021-08-21",NULL,5.24,8,909
"2021-08-22",NULL,4.14,9,1066
"2021-08-22",NULL,0.59,1,20
"2021-08-23",NULL,3.69,8,1106
"2021-08-24",NULL,7.29,14,1069
"2021-08-25",NULL,1.77,4,851
"2021-08-26",NULL,3.92,8,946
"2021-08-27",NULL,3.84,7,1006
"2021-08-28",NULL,5.92,10,1246
"2021-08-29",NULL,4.93,9,1212
"2021-08-29",NULL,0.66,1,12
"2021-08-30",NULL,6.96,12,1310
"2021-08-31",NULL,5.92,12,3147
"2021-09-01",NULL,6.8,12,2572
"2021-09-02",NULL,5.26,10,3998
"2021-09-03",NULL,5.11,11,3345
"2021-09-04",NULL,6.07,10,4363
"2021-09-05",NULL,7.8,15,4349
"2021-09-06",NULL,1.02,2,3570
"2021-09-07",NULL,5.36,10,3667
"2021-09-08",NULL,5.5,12,3368
"2021-09-09",NULL,2.95,6,2977
"2021-09-10",NULL,4.65,8,2600
"2021-09-11",NULL,6.93,12,2650
"2021-09-12",NULL,3.23,8,2245
"2021-09-13",NULL,6.34,10,1862
"2021-09-14",NULL,3.4,8,1477
"2021-09-15",NULL,3.87,8,1151
"2021-09-16",NULL,4.55,10,1237
"2021-09-17",NULL,2.56,5,1179
"2021-09-18",NULL,1.3,4,1288
"2021-09-19",NULL,5.0,13,1692
"2021-09-20",NULL,3.64,6,1436
"2021-09-21",NULL,5.56,12,1499
"2021-09-21",NULL,0.4,1,9
"2021-09-22",NULL,7.45,18,1966
"2021-09-22",NULL,0.1,1,12
"2021-09-23",NULL,3.33,9,1697
"2021-09-24",NULL,2.62,6,1532
"2021-09-25",NULL,6.21,11,1541
"2021-09-26",NULL,10.66,24,2655
"2021-09-27",NULL,9.41,18,2025
"2021-09-28",NULL,8.89,16,2058
"2021-09-29",NULL,5.92,12,1993
"2021-09-30",NULL,9.9,16,1332
"2021-10-01",NULL,7.22,13,1363
"2021-10-02",NULL,4.16,6,1260
"2021-10-03",NULL,4.1,8,1507
"2021-10-04",NULL,6.64,17,1520
"2021-10-05",NULL,7.93,17,1555
"2021-10-05",NULL,0.82,1,2
"2021-10-06",NULL,7.11,17,1663
"2021-10-07",NULL,2.78,6,1370
"2021-10-08",NULL,2.49,5,1077
"2021-10-09",NULL,5.15,8,1253
"2021-10-10",NULL,8.87,14,1368
"2021-10-11",NULL,4.71,7,1477
"2021-10-12",NULL,7.76,12,1610
"2021-10-13",NULL,6.96,11,1563
"2021-10-14",NULL,3.35,7,1323
"2021-10-15",NULL,3.57,6,1204
"2021-10-16",NULL,7.3,10,1797
"2021-10-17",NULL,4.84,8,2205
"2021-10-18",NULL,7.94,12,1822
"2021-10-19",NULL,1.98,4,1658
"2021-10-20",NULL,3.14,5,1610
"2021-10-20",NULL,1.69,2,194
"2021-10-21",NULL,2.29,4,1245
"2021-10-21",NULL,0.94,1,440
"2021-10-22",NULL,4.25,6,1324
"2021-10-22",NULL,0.46,1,433
"2021-10-23",NULL,4.1,4,1733
"2021-10-23",NULL,1.79,4,357
"2021-10-24",NULL,8.78,16,1857
"2021-10-24",NULL,1.59,1,72
"2021-10-25",NULL,3.43,6,1563
"2021-10-25",NULL,1.85,1,71
"2021-10-26",NULL,0.31,1,1239
"2021-10-26",NULL,1.43,1,138
"2021-10-27",NULL,2.76,5,1479
"2021-10-27",NULL,0.91,1,237
