"Date","ASIN","Product Title","Ordered Revenue","Ordered Units","Glance Views","Conversion Rate"
"2021-12-27","C08P68TLF9","Erb BB Land - Clair","16.85",1,21,"0.14"
"2022-03-01","C07J3NXV3W","Double Mousse Visage aux 7 Herbes - Mousse Nettoyante  - 145ml","27.00",2,12,"0.00"
"2022-03-02","C07J3NXV3W","Double Mousse Visage aux 7 Herbes - Mousse Nettoyante  - 145ml","40.50",3,23,"0.17"
"2021-12-26","C08QXGY29Z","Erb Pink Primer & Care 15ml","0.00",0,0,NULL
"2021-12-27","C08QXGY29Z","Erb Pink Primer & Care 15ml","17.98",2,5,"0.00"
"2022-03-03","C07J3NXV3W","Double Mousse Visage aux 7 Herbes - Mousse Nettoyante  - 145ml","27.00",2,18,"0.11"
"2021-12-27","C093WYVRBD","Erb KIT BLOOMING WITH CC CREME DORE","0.00",0,3,"0.33"
"2022-03-04","C07J3NXV3W","Double Mousse Visage aux 7 Herbes - Mousse Nettoyante  - 145ml","27.00",2,11,"0.09"
"2021-12-26","C095L2D24W","Erb CC Water Clair 15ml, (Pack of 1)","16.18",1,5,"0.20"
"2021-12-27","C095L2D24W","Erb CC Water Clair 15ml, (Pack of 1)","32.36",2,3,"0.33"
"2022-02-27","C07JJP53WY","Erb - Cleansing Water aux 7 Herbes - Eau Micellaire 3-en-1 Rafraîchissante - 190ml","0.00",0,0,"0.00"
"2022-02-28","C07JJP53WY","Erb - Cleansing Water aux 7 Herbes - Eau Micellaire 3-en-1 Rafraîchissante - 190ml","11.50",1,7,"0.14"
"2022-03-01","C07JJP53WY","Erb - Cleansing Water aux 7 Herbes - Eau Micellaire 3-en-1 Rafraîchissante - 190ml","0.00",0,0,"0.00"
"2022-03-02","C07JJP53WY","Erb - Cleansing Water aux 7 Herbes - Eau Micellaire 3-en-1 Rafraîchissante - 190ml","0.00",0,0,"0.00"
"2022-02-27","C07JM4MS7H","CC Red Correct - Perfecteur et Correcteur de Teint Couvrant les Imperfections - Teint Unifié - 45 ml","319.20",16,148,"0.17"
"2022-02-28","C07JM4MS7H","CC Red Correct - Perfecteur et Correcteur de Teint Couvrant les Imperfections - Teint Unifié - 45 ml","501.55",25,137,"0.12"
"2022-03-01","C07JM4MS7H","CC Red Correct - Perfecteur et Correcteur de Teint Couvrant les Imperfections - Teint Unifié - 45 ml","364.70",18,143,"0.16"
"2022-03-02","C07JM4MS7H","CC Red Correct - Perfecteur et Correcteur de Teint Couvrant les Imperfections - Teint Unifié - 45 ml","319.20",16,115,"0.11"
"2022-03-03","C07JM4MS7H","CC Red Correct - Perfecteur et Correcteur de Teint Couvrant les Imperfections - Teint Unifié - 45 ml","401.80",19,168,"0.14"
